tag,total_page_views,individual_smes,group_smes,total_unique_smes,unique_askers,unique_answerers,unique_commenters,unique_contributors,unique_article_contributors,question_count,question_upvotes,question_downvotes,question_comments,questions_no_answers,questions_accepted_answer,answer_count,answer_upvotes,answer_downvotes,answer_comments,article_count,article_upvotes,article_comments
hive,3734,0,0,0,3,8,4,12,0,7,9,3,5,0,4,9,13,0,8,0,0,0
nltk,3680,0,0,0,18,22,31,47,0,23,36,2,30,5,8,28,36,0,23,0,0,0
finance,3606,0,0,0,10,8,15,25,0,10,8,1,14,2,4,11,26,1,20,0,0,0
feature-construction,3525,0,0,0,9,9,16,25,0,11,39,1,23,1,5,15,42,0,24,0,0,0
processing,3473,0,0,0,10,15,14,28,0,10,29,4,9,1,7,15,36,1,17,0,0,0
matlab,3470,0,0,0,33,33,46,79,0,42,51,5,77,9,17,42,40,1,48,0,0,0
weighted-data,3429,0,0,0,11,14,21,31,0,11,24,1,19,1,8,16,41,1,23,0,0,0
dbscan,3380,0,0,0,5,3,3,8,0,5,13,1,3,2,3,4,11,1,8,0,0,0
recommender-system,3350,0,0,0,32,33,43,76,0,35,64,2,32,9,11,41,47,1,47,0,0,0
online-learning,3266,0,0,0,13,12,22,32,0,15,40,1,17,4,5,14,23,1,27,0,0,0
untagged,3178,0,0,0,14,24,21,42,0,22,37,6,22,10,6,35,52,1,17,0,0,0
markov-process,3142,0,0,0,16,16,23,43,0,17,36,2,20,4,6,18,25,0,24,0,0,0
evaluation,3056,0,0,0,27,34,38,67,0,31,39,3,41,6,14,41,59,1,32,0,0,0
forecast,3012,0,0,0,22,21,23,52,0,24,42,6,35,7,4,22,25,2,12,0,0,0
apache-mahout,2975,0,0,0,11,12,17,31,0,16,25,1,33,7,1,13,22,0,2,0,0,0
ranking,2969,0,0,0,16,20,20,41,0,16,29,5,19,4,7,20,24,0,18,0,0,0
object-recognition,2945,0,0,0,11,12,15,28,0,12,29,0,13,3,1,13,41,0,10,0,0,0
named-entity-recognition,2926,0,0,0,12,17,21,35,0,13,16,2,34,1,3,18,24,0,14,0,0,0
normalization,2872,0,0,0,16,19,25,40,0,17,37,2,32,2,6,22,28,1,34,0,0,0
state-of-the-art,2857,0,0,0,4,5,11,15,0,5,55,1,8,1,3,5,44,0,7,0,0,0
pca,2849,0,0,0,19,29,43,58,0,22,55,2,25,3,11,33,83,1,53,0,0,0
software-development,2668,0,0,0,8,16,14,28,0,8,35,0,5,1,3,17,46,1,12,0,0,0
terminology,2617,0,0,0,20,24,32,48,0,23,56,1,39,2,12,33,68,0,26,0,0,0
multilabel-classification,2612,0,0,0,24,25,33,55,0,28,36,1,34,10,6,29,26,3,27,0,0,0
sentiment-analysis,2497,0,0,0,10,16,16,30,0,13,25,0,13,0,3,22,34,0,27,0,0,0
ab-test,2495,1,0,1,15,21,22,42,1,17,37,1,21,4,8,24,37,0,23,1,2,0
self-study,2480,0,0,0,8,12,14,25,0,8,34,3,28,2,4,13,40,0,11,0,0,0
orange,2470,0,0,0,24,13,22,42,0,27,17,5,32,6,6,24,12,2,13,0,0,0
consumerweb,2430,0,0,0,16,14,14,32,0,16,26,3,14,5,2,15,32,0,5,0,0,0
julia,2424,0,0,0,2,3,8,9,0,3,12,0,13,2,1,3,14,2,2,0,0,0
ensemble-modeling,2418,0,0,0,20,18,32,49,0,22,46,2,34,4,11,24,46,1,17,0,0,0
usecase,2333,0,0,0,5,11,5,16,0,6,27,0,1,0,1,12,40,0,7,0,0,0
language-model,2245,0,0,0,12,12,16,28,0,12,36,1,18,4,4,14,28,2,8,0,0,0
training,2201,0,0,0,25,29,31,65,0,27,29,4,49,6,10,36,52,3,19,0,0,0
distance,2147,0,0,0,16,19,29,45,0,16,45,5,29,1,9,25,53,2,30,0,0,0
freebase,2125,0,0,0,3,9,7,14,0,3,26,0,9,0,2,10,43,0,1,0,0,0
outlier,2114,0,0,0,13,19,26,37,0,14,32,1,10,1,4,21,32,1,21,0,0,0
model-selection,1974,0,0,0,19,22,24,46,0,19,42,0,18,3,7,25,52,1,19,0,0,0
apache-pig,1922,0,0,0,7,5,3,12,0,7,10,1,2,3,1,5,5,0,6,0,0,0
prediction,1902,0,0,0,12,15,13,27,0,14,21,0,4,1,4,15,12,0,11,0,0,0
gensim,1895,0,0,0,13,12,14,28,0,14,27,0,13,5,4,14,20,0,18,0,0,0
genetic-algorithms,1880,0,0,0,8,9,11,20,0,8,9,0,11,1,3,9,18,1,7,0,0,0
data-formats,1865,0,0,0,10,19,15,34,0,11,26,1,18,1,5,20,39,0,11,0,0,0
missing-data,1839,0,0,0,17,26,24,50,0,19,32,1,32,4,7,29,31,0,10,0,0,0
cosine-distance,1839,0,0,0,10,11,12,26,0,10,21,0,10,2,3,12,17,1,6,0,0,0
feature-scaling,1818,0,0,0,14,13,25,37,0,14,26,2,24,0,9,17,27,0,25,0,0,0
relational-dbms,1741,0,0,0,4,7,10,17,0,4,24,0,9,1,1,7,41,2,4,0,0,0
confusion-matrix,1696,0,0,0,15,19,23,36,0,15,18,2,19,1,6,21,26,0,22,0,0,0
overfitting,1616,0,0,0,7,13,13,21,0,8,21,0,14,0,5,13,32,1,11,0,0,0
billing,1599,5,0,5,11,12,8,22,1,18,23,1,4,3,10,20,34,5,7,1,0,0
data-stream-mining,1583,0,0,0,9,8,10,21,0,9,29,0,11,3,4,9,25,0,4,0,0,0
architecture,1583,2,27,27,5,6,4,10,0,5,26,0,1,1,4,8,36,6,4,0,0,0
scoring,1570,0,0,0,9,9,19,25,0,9,18,0,12,1,4,11,12,1,23,0,0,0
competitions,1570,0,0,0,2,2,1,3,0,2,3,0,0,0,2,2,3,0,1,0,0,0
loss-function,1569,0,0,0,13,6,9,20,0,14,19,0,16,8,2,6,7,0,6,0,0,0
barplot,1490,0,0,0,2,4,2,7,0,2,4,0,0,0,1,4,8,0,3,0,0,0
parameter-estimation,1488,0,0,0,12,12,9,21,0,12,27,1,0,2,7,14,16,0,22,0,0,0
hierarchical-data-format,1470,0,0,0,7,6,6,15,0,8,25,0,6,5,2,6,21,0,1,0,0,0
association-rules,1470,0,0,0,14,17,15,36,0,18,17,3,20,3,9,22,21,0,16,0,0,0
featurization,1457,0,0,0,4,13,13,22,0,4,12,2,11,0,3,13,29,0,21,0,0,0
rbm,1372,1,0,1,9,8,10,19,0,13,40,0,19,4,4,12,21,0,24,0,0,0
marketing,1369,3,0,3,6,9,8,17,0,9,15,0,8,1,3,10,11,0,4,0,0,0
ggplot2,1244,0,0,0,8,8,17,24,0,8,15,1,21,1,4,9,13,1,2,0,0,0
test,1241,0,0,0,10,6,11,23,4,11,10,0,9,6,2,6,4,0,11,4,3,0
bayesian-networks,1234,0,0,0,10,13,9,25,0,11,25,0,8,2,4,13,22,2,9,0,0,0
experiments,1191,0,0,0,12,18,21,35,0,12,40,3,16,2,5,19,39,0,23,0,0,0
amazon-web-services,1112,1,0,1,11,8,6,18,0,19,32,1,10,4,12,17,22,0,0,0,0,0
aggregation,1103,0,0,0,3,5,6,9,0,3,5,0,2,0,1,6,9,0,9,0,0,0
sas,1102,0,0,0,7,10,11,20,0,7,8,3,8,1,5,11,25,1,8,0,0,0
survival-analysis,1029,0,0,0,8,7,13,23,0,8,17,0,14,3,2,8,9,0,4,0,0,0
geospatial,1021,0,0,0,6,8,12,17,0,7,10,2,9,1,2,8,9,1,10,0,0,0
regularization,1005,0,0,0,14,12,11,26,0,14,36,0,10,1,6,19,40,2,10,0,0,0
q-learning,1002,0,0,0,5,5,7,11,0,6,20,0,10,0,1,7,12,0,10,0,0,0
books,1002,0,0,0,6,16,13,26,0,8,14,0,15,1,4,16,30,0,17,0,0,0
gpu,995,0,0,0,4,6,9,12,0,6,26,1,7,0,1,9,21,0,9,0,0,0
text,993,0,0,0,14,16,24,41,0,15,20,2,31,3,5,17,18,0,16,0,0,0
azure-ml,965,0,0,0,6,7,3,17,1,6,12,0,3,2,3,8,10,0,0,1,1,0
anonymization,941,0,0,0,2,8,5,10,0,2,34,0,1,0,1,8,44,1,10,0,0,0
churn,916,0,0,0,6,10,12,21,0,6,11,0,5,0,1,10,15,0,11,0,0,0
methods,906,0,0,0,7,13,9,21,0,7,9,0,12,1,4,13,9,0,8,0,0,0
metadata,854,0,0,0,4,5,9,11,0,4,21,0,9,1,1,5,28,0,5,0,0,0
google,827,0,0,0,6,11,7,19,0,6,20,1,3,1,3,12,33,0,8,0,0,0
multitask-learning,803,0,0,0,2,1,1,3,0,2,8,0,1,1,0,1,1,0,0,0,0,0
data-wrangling,780,0,0,0,9,15,15,27,0,10,14,1,11,0,9,18,27,0,14,0,0,0
discriminant-analysis,776,0,0,0,4,3,2,8,0,4,14,0,2,1,1,3,7,0,0,0,0,0
bayesian,754,0,0,0,8,5,13,18,0,8,16,1,13,3,2,7,14,0,12,0,0,0
stanford-nlp,715,0,0,0,6,11,11,19,0,7,11,4,13,1,2,12,9,0,5,0,0,0
energy,710,0,0,0,3,2,7,10,0,3,2,0,6,1,0,2,4,0,5,0,0,0
market-basket-analysis,700,0,0,0,5,7,8,15,0,7,5,2,8,1,5,8,5,0,10,0,0,0
azure,692,3,0,3,6,5,0,9,2,15,21,0,0,1,13,14,22,0,0,2,8,2
tsne,679,0,0,0,4,6,8,13,0,5,18,0,3,0,3,7,13,0,14,0,0,0
hr,658,4,4,4,5,2,3,7,2,5,9,0,0,1,4,6,14,1,5,2,4,1
randomized-algorithms,627,0,0,0,2,1,3,3,0,2,10,0,0,0,1,2,8,0,3,0,0,0
data-imputation,613,0,0,0,7,10,12,23,0,7,11,0,11,0,0,13,8,0,6,0,0,0
hbase,611,0,0,0,2,3,4,6,0,2,1,0,1,0,0,3,5,0,8,0,0,0
json,609,0,0,0,9,9,9,18,0,22,6,2,12,3,11,20,5,0,1,0,0,0
error-handling,604,0,0,0,5,4,9,13,0,6,5,1,8,2,3,4,10,0,5,0,0,0
audio-recognition,599,0,0,0,6,4,10,14,0,6,11,0,11,2,2,5,8,0,4,0,0,0
descriptive-statistics,594,0,0,0,10,9,20,30,0,10,15,2,16,4,1,9,9,0,19,0,0,0
markov,579,0,0,0,3,5,2,7,0,3,11,1,1,0,1,5,7,0,1,0,0,0
libsvm,519,0,0,0,4,5,5,11,0,4,16,0,2,1,1,5,24,0,4,0,0,0
graphical-model,488,0,0,0,5,4,5,9,0,5,8,0,1,1,1,6,11,0,5,0,0,0
terraform,487,3,27,28,2,1,0,3,1,2,3,0,0,1,1,1,2,1,0,1,7,2
bioinformatics,480,0,0,0,6,7,2,14,0,7,10,0,3,2,3,7,8,0,1,0,0,0
.net,479,0,0,0,8,8,5,15,0,14,16,2,2,0,10,14,19,0,4,0,0,0
distribution,474,0,0,0,7,8,12,16,0,7,10,2,15,1,3,8,9,2,15,0,0,0
indexing,472,0,0,0,5,6,5,9,0,5,15,0,1,0,3,6,17,0,6,0,0,0
sequential-pattern-mining,469,0,0,0,7,5,10,16,0,7,8,0,15,2,1,5,4,0,3,0,0,0
github,467,2,1,3,10,8,2,11,0,15,16,0,0,5,4,10,11,0,2,0,0,0
sequence,439,0,0,0,4,6,8,10,0,4,16,0,9,0,3,6,14,0,10,0,0,0
semi-supervised-learning,425,0,0,0,3,8,9,14,0,3,17,0,6,0,0,8,18,0,7,0,0,0
torch,418,0,0,0,6,5,4,11,0,6,6,0,2,2,3,5,2,0,3,0,0,0
it-support,412,1,2,2,5,4,2,8,1,8,11,0,1,1,5,7,16,0,1,1,5,0
master-algorithm,409,0,0,0,1,2,3,5,0,2,5,0,3,1,0,3,8,0,0,0,0,0
gaussian,407,0,0,0,6,7,12,15,0,6,11,2,14,1,4,7,9,2,17,0,0,0
labels,396,0,0,0,6,5,10,14,0,7,6,0,14,3,1,5,8,0,7,0,0,0
expectation-maximization,395,0,0,0,2,1,0,3,0,2,4,0,0,1,0,1,2,0,0,0,0,0
stata,394,0,0,0,2,3,5,8,0,2,6,0,8,0,1,3,7,0,4,0,0,0
numerical,362,0,0,0,4,5,7,12,0,4,14,0,3,1,2,5,12,0,8,0,0,0
data-indexing-techniques,357,0,0,0,3,3,5,7,0,4,10,0,7,1,2,3,11,0,4,0,0,0
kube,351,1,0,1,5,6,3,8,0,6,16,0,2,1,5,7,14,0,1,0,0,0
data-product,343,0,0,0,3,3,7,10,0,3,9,0,12,1,0,3,6,0,4,0,0,0
