Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
supervised-learning,6119,0,0,0,41,49,55,103,0,53,134,5,67,8,24,0,66,109,4,69,5.68,0,0,0
aws,5952,0,0,0,10,16,15,34,0,10,34,0,12,0,4,0,18,55,2,9,10.51,0,0,0
software-recommendation,5910,1,18,19,9,19,21,37,0,13,39,2,27,0,5,0,24,25,0,14,24.15,0,0,0
research,5855,1,27,28,12,16,14,34,0,12,29,7,23,1,5,0,16,22,1,5,16.86,0,0,0
autoencoder,5497,0,0,0,13,14,13,29,0,15,35,0,9,5,5,0,15,23,0,12,10.15,0,0,0
naive-bayes-classifier,5445,0,0,0,21,21,25,52,0,25,45,4,25,5,8,0,23,39,0,17,27.0,0,0,0
excel,5380,0,0,0,6,12,18,32,0,6,19,0,17,2,2,0,12,43,0,7,10.94,0,0,0
sampling,5282,0,0,0,22,28,28,58,0,26,46,1,22,2,10,0,34,54,0,35,7.27,0,0,0
genetic,5117,0,0,0,4,4,5,9,0,4,13,0,7,1,1,0,5,21,0,4,1.82,0,0,0
sql,5109,0,0,0,23,31,34,67,0,33,54,3,27,4,16,11,44,55,0,30,3.02,0,0,0
library,5104,0,0,0,5,6,9,14,0,8,20,2,11,2,3,0,7,16,0,9,11.0,0,0,0
tableau,4991,0,0,0,9,14,12,27,0,11,14,0,9,1,3,0,18,17,1,11,36.31,0,0,0
glm,4864,0,0,0,7,7,11,17,0,7,20,3,6,2,2,0,9,47,0,26,4.6,0,0,0
backpropagation,4864,0,0,0,23,20,27,44,0,25,55,0,17,4,13,0,31,60,0,59,3.24,0,0,0
computer-vision,4640,0,0,0,27,22,32,58,0,30,52,8,45,7,14,1,31,47,0,32,10.99,0,0,0
sports,4514,0,0,0,3,5,3,11,2,3,7,1,2,0,0,0,6,10,1,1,3.7,2,3,1
parsing,4224,0,0,0,15,17,27,44,0,27,38,1,44,5,15,11,28,28,0,17,13.27,0,0,0
unsupervised-learning,4026,0,0,0,38,38,51,91,0,40,101,3,51,9,13,0,53,74,3,74,5.64,0,0,0
search,3982,0,0,0,20,29,29,57,0,23,67,2,31,4,10,0,34,80,0,25,5.71,0,0,0
jupyter,3894,0,0,0,9,9,12,22,0,10,14,0,10,2,4,1,10,22,0,5,20.32,0,0,0
neo4j,3755,0,0,0,5,7,8,13,0,6,15,0,10,1,3,0,7,22,0,6,8.13,0,0,0
hive,3734,0,0,0,3,8,4,12,0,7,9,3,5,0,4,0,9,13,0,8,4.64,0,0,0
nltk,3681,0,0,0,18,22,31,47,0,23,36,2,30,5,8,0,28,36,0,23,7.38,0,0,0
finance,3606,0,0,0,10,8,15,25,0,10,8,1,14,2,4,0,11,26,1,20,4.15,0,0,0
feature-construction,3525,0,0,0,9,9,16,25,0,11,39,1,23,1,5,0,15,42,0,24,2.95,0,0,0
