Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Sme Answers,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
supervised-learning,6122,0,0,0,41,49,55,103,0,53,134,5,67,8,24,0,66,0,109,4,69,5.68,0,0,0
software-recommendation,5916,1,18,19,9,19,21,37,0,13,39,2,27,0,5,0,24,0,25,0,14,24.15,0,0,0
research,5855,1,27,28,12,16,13,33,0,12,29,7,22,1,5,0,16,0,22,1,5,16.86,0,0,0
aws,5658,0,0,0,8,14,14,29,0,8,30,0,11,0,4,0,16,0,53,2,9,10.51,0,0,0
autoencoder,5497,0,0,0,13,14,13,29,0,15,35,0,9,5,5,0,15,0,23,0,12,10.15,0,0,0
naive-bayes-classifier,5445,0,0,0,21,21,24,51,0,25,45,4,24,5,8,0,23,0,39,0,17,27.0,0,0,0
excel,5380,0,0,0,6,12,18,32,0,6,19,0,17,2,2,0,12,0,43,0,7,10.94,0,0,0
sampling,5282,0,0,0,22,28,28,58,0,26,46,1,22,2,10,0,34,0,54,0,35,7.27,0,0,0
sql,5120,0,0,0,23,31,34,67,0,33,54,3,27,4,16,11,44,0,55,0,30,3.02,0,0,0
genetic,5117,0,0,0,4,4,5,9,0,4,13,0,7,1,1,0,5,0,21,0,4,1.82,0,0,0
library,5106,0,0,0,5,6,9,14,0,8,20,2,11,2,3,0,7,0,16,0,9,11.0,0,0,0
tableau,4991,0,0,0,9,14,12,27,0,11,14,0,9,1,3,0,18,0,17,1,11,36.31,0,0,0
backpropagation,4865,0,0,0,23,20,27,44,0,25,55,0,17,4,13,0,31,0,60,0,59,3.24,0,0,0
glm,4864,0,0,0,7,7,11,17,0,7,20,3,6,2,2,0,9,0,47,0,26,4.6,0,0,0
computer-vision,4641,0,0,0,27,22,32,58,0,30,52,8,45,7,14,1,31,0,47,0,32,10.99,0,0,0
sports,4514,0,0,0,3,5,3,11,2,3,7,1,2,0,0,0,6,0,10,1,1,3.7,2,3,1
parsing,4227,0,0,0,15,16,25,43,0,27,38,1,43,5,16,11,27,0,24,0,12,14.73,0,0,0
unsupervised-learning,4026,0,0,0,38,38,51,91,0,40,101,3,51,9,13,0,53,0,74,3,74,5.64,0,0,0
search,3985,0,0,0,20,29,28,56,0,23,67,2,29,4,10,0,34,0,80,0,25,5.71,0,0,0
jupyter,3896,0,0,0,9,9,12,22,0,10,14,0,10,2,4,1,10,0,22,0,5,20.32,0,0,0
neo4j,3755,0,0,0,5,7,8,13,0,6,15,0,10,1,3,0,7,0,22,0,6,8.13,0,0,0
hive,3734,0,0,0,3,8,4,12,0,7,9,3,5,0,4,0,9,0,13,0,8,4.64,0,0,0
nltk,3682,0,0,0,18,22,31,47,0,23,36,2,30,5,8,0,28,0,36,0,23,7.38,0,0,0
finance,3606,0,0,0,10,8,15,25,0,10,8,1,14,2,4,0,11,0,26,1,20,4.15,0,0,0
feature-construction,3527,0,0,0,9,9,16,25,0,11,39,1,23,1,5,0,15,0,42,0,24,2.95,0,0,0
processing,3474,0,0,0,10,15,13,27,0,10,29,4,8,1,7,0,15,0,36,1,17,1.92,0,0,0
matlab,3472,0,0,0,33,33,46,79,0,42,52,5,77,9,17,0,42,0,40,1,48,11.05,0,0,0
weighted-data,3429,0,0,0,11,14,21,31,0,11,24,1,19,1,8,0,16,0,41,1,23,3.11,0,0,0
dbscan,3380,0,0,0,5,3,3,8,0,5,13,1,3,2,3,0,4,0,11,1,8,5.82,0,0,0
recommender-system,3350,0,0,0,32,33,43,76,0,35,64,2,32,9,11,0,41,0,47,1,47,8.65,0,0,0
untagged,3274,0,0,0,19,29,22,47,0,31,43,6,23,15,9,4,42,0,52,1,17,0.4,0,0,0
online-learning,3269,0,0,0,13,12,21,31,0,15,40,1,17,4,5,0,14,0,23,1,26,17.91,0,0,0
markov-process,3143,0,0,0,16,16,23,43,0,17,36,2,20,4,7,0,18,0,25,0,24,44.6,0,0,0
evaluation,3059,0,0,0,27,34,38,67,0,31,39,3,41,6,14,0,41,0,59,1,32,3.29,0,0,0
forecast,3014,0,0,0,22,21,23,52,0,24,42,6,35,7,4,0,22,0,25,2,12,19.61,0,0,0
software-development,2986,0,0,0,9,17,14,30,1,9,41,0,5,1,4,1,18,0,57,1,12,12.22,1,0,0
apache-mahout,2977,0,0,0,11,12,17,31,0,16,25,1,33,7,1,0,13,0,22,0,2,52.1,0,0,0
ranking,2970,0,0,0,16,20,20,41,0,16,29,5,19,4,7,0,20,0,24,0,18,26.62,0,0,0
object-recognition,2945,0,0,0,11,12,15,28,0,12,29,0,13,3,1,0,13,0,41,0,10,41.01,0,0,0
named-entity-recognition,2928,0,0,0,12,17,21,35,0,13,16,2,34,1,4,0,18,0,24,0,14,16.56,0,0,0
normalization,2873,0,0,0,16,19,25,40,0,17,37,2,32,2,6,0,22,0,28,1,34,2.65,0,0,0
state-of-the-art,2858,0,0,0,4,5,11,15,0,5,55,1,8,1,3,0,5,0,44,0,7,15.81,0,0,0
pca,2849,0,0,0,19,29,43,58,0,22,55,2,25,3,11,1,33,0,83,1,53,6.46,0,0,0
terminology,2617,0,0,0,20,24,32,48,0,23,56,1,39,2,12,0,33,0,68,0,26,9.88,0,0,0
sentiment-analysis,2522,0,0,0,10,15,15,29,0,13,25,0,13,1,3,1,21,0,25,0,26,4.49,0,0,0
ab-test,2517,1,0,1,16,21,22,43,1,19,38,1,21,6,8,0,24,1,37,0,23,8.75,1,2,0
self-study,2480,0,0,0,8,12,14,25,0,8,34,3,28,2,4,0,13,0,40,0,11,4.84,0,0,0
orange,2470,0,0,0,24,13,22,42,0,27,17,5,32,6,6,0,24,0,12,2,13,22.29,0,0,0
consumerweb,2431,0,0,0,16,14,14,32,0,16,26,3,14,5,2,0,15,0,32,0,5,35.21,0,0,0
julia,2424,0,0,0,2,3,7,8,0,3,12,0,10,2,1,0,3,0,14,2,2,4.54,0,0,0
ensemble-modeling,2418,0,0,0,20,18,32,49,0,22,46,2,34,4,11,0,24,0,46,1,17,14.69,0,0,0
usecase,2334,0,0,0,5,11,5,16,0,6,27,0,1,0,1,1,12,0,40,0,7,0.69,0,0,0
multilabel-classification,2277,0,0,0,23,25,32,54,0,27,33,1,32,9,6,0,29,0,26,3,27,24.4,0,0,0
training,2202,0,0,0,25,29,31,65,0,27,29,4,49,6,10,0,36,0,52,3,19,1.68,0,0,0
language-model,2179,0,0,0,11,12,15,27,0,11,32,1,14,3,4,0,14,0,28,2,8,12.54,0,0,0
distance,2149,0,0,0,16,19,29,45,0,16,45,5,29,1,9,0,25,0,53,2,30,6.01,0,0,0
freebase,2128,0,0,0,3,9,7,14,0,3,27,0,9,0,2,0,10,0,44,0,1,12.89,0,0,0
outlier,2115,0,0,0,13,19,26,37,0,14,32,1,10,1,4,0,21,0,32,1,21,9.03,0,0,0
model-selection,1975,0,0,0,19,22,24,46,0,19,42,0,18,3,7,0,25,0,52,1,19,3.52,0,0,0
apache-pig,1922,0,0,0,7,5,3,12,0,7,10,1,2,3,1,0,5,0,5,0,6,4.88,0,0,0
prediction,1906,0,0,0,12,15,13,27,0,14,21,0,4,1,4,1,15,0,12,0,11,5.45,0,0,0
gensim,1896,0,0,0,13,12,14,28,0,14,27,0,13,5,4,0,14,0,20,0,18,87.89,0,0,0
genetic-algorithms,1880,0,0,0,8,9,11,20,0,8,9,0,11,1,3,0,9,0,18,1,7,4.7,0,0,0
architecture,1869,2,27,27,6,5,4,10,0,8,22,0,1,4,4,3,7,6,34,2,4,0.65,0,0,0
data-formats,1865,0,0,0,10,19,15,34,0,11,26,1,18,1,5,0,20,0,39,0,11,6.25,0,0,0
test,1861,0,0,0,13,9,14,30,4,17,19,0,9,9,5,0,11,0,11,0,14,0.58,4,3,0
billing,1853,5,0,5,10,10,8,20,1,18,18,1,4,4,9,7,18,6,33,1,7,1.31,1,0,0
